ssid,bssid,encryption,vendor,longitude,latitude
Anh ,84:1b:5e:48:fc:1e,"",NETGEAR,8.6343373,49.8693362
herzig Gastnetzwerk,c8:0e:14:17:fd:06,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.6324585,49.8732344
homesweethome,c4:e9:84:e3:6d:7c,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6676901,49.8709899
h_da,3c:94:d5:7c:43:c3,"",Juniper Networks,8.6408657,49.8647768
mne-lab,5c:a4:8a:e0:59:c9,"","Cisco Systems, Inc",8.638596,49.871951
EasyBox-25E854,18:83:bf:25:e8:12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],Arcadyan Technology Corporation,8.64233353192059,49.8848087995532
Roboter,14:d6:4d:cd:c8:90,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,D-Link International,8.65200143726159,49.8672313559318
omnicloud-lab,1c:1d:86:06:6a:31,"","Cisco Systems, Inc",8.639997,49.873226
Fnord-Guest,24:a4:3c:26:21:01,"",Ubiquiti Networks Inc.,8.6384171,49.87087
eduroam,00:24:97:f2:9a:3c,"","Cisco Systems, Inc",8.6528619,49.8739356
h_da,84:b5:9c:e3:e3:42,"",Juniper Networks,8.6358283,49.8676913
TP-LINK_98FC,60:e3:27:36:98:fc,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.669122,49.883012
UPC9362C9B,dc:53:7c:ca:a6:58,"","Compal Broadband Networks, Inc.",8.662443,49.883091
Jar-Jar-Binks-5,00:1d:aa:9d:11:22,"",DrayTek Corp.,8.67291,49.880065
FRITZ!Box 7362 SL,34:81:c4:3a:cd:59,"",AVM GmbH,8.6344285,49.8680745
eduroam,d0:c7:89:48:29:fb,"","Cisco Systems, Inc",8.6776104975,49.86166627875
7490-DARMSTADT,34:81:c4:de:0c:e8,"",AVM GmbH,8.6517917,49.8719916
wlan-home,f8:1a:67:41:ef:59,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6418123,49.87595
dlvgast-g,04:a1:51:87:35:62,"",NETGEAR,8.664191,49.88927
Desperate HouseWiFi,08:96:d7:12:af:57,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65313751537317,49.8684691860954
Oelli_LAN,84:9c:a6:f0:41:73,"",Arcadyan Technology Corporation,8.6624192,49.8693794
ALICE-WLAN56,7c:4f:b5:58:cb:ee,[WPA2-PSK-CCMP+TKIP-preauth][WPS][ESS],Arcadyan Technology Corporation,8.652984010149,49.8618987423505
DA squirrel,84:9c:a6:6b:82:c1,"",Arcadyan Technology Corporation,8.6351947,49.8685981
verbinde...,74:31:70:a8:09:f2,[WPA2-PSK-CCMP][ESS],Arcadyan Technology Corporation,8.63592438903005,49.8853513383885
j3170,00:24:fe:09:3a:30,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.659456641844,49.87387660555
Rose,00:1e:2a:25:5a:4c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,NETGEAR,8.65537839046953,49.8688326632677
TUDWeb,20:4c:9e:a2:93:22,[ESS],"Cisco Systems, Inc",8.6582236987995,49.873781923759
FRITZ!Box Fon WLAN 7112,00:24:fe:ba:b9:1f,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.65942941647151,49.8570518121526
Dersim Merkez,34:81:c4:e6:c4:6a,"",AVM GmbH,8.6402542,49.8643447
Speedlink-784,a0:e4:cb:01:b7:ae,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.66598497683436,49.8628358802888
UPC0915901,8c:04:ff:f4:c7:ec,"",Technicolor CH USA Inc.,8.6439093,49.870338
h_da,ac:4b:c8:09:d2:42,"",Juniper Networks,8.6425823,49.8662034
UPC21D8157,dc:53:7c:ca:18:be,"","Compal Broadband Networks, Inc.",8.644859,49.8655602
FRITZ!Box 7312,9c:c7:a6:05:aa:0e,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65563032617503,49.8579920206379
eduroam,2c:3e:cf:f0:f8:cc,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65782040025318,49.8784204457134
easybox1,18:83:bf:30:15:92,"",Arcadyan Technology Corporation,8.6433841,49.8657719
AlFRITZ!Box7490,34:81:c4:ce:5e:c1,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.65990083048221,49.8735874726436
ALINET-U,88:f7:c7:dd:93:e1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.66078296097389,49.8706605437669
FRITZ!Box 7330,34:81:c4:00:db:1b,"",AVM GmbH,8.6395267,49.8700376
UPCC5BFC34,dc:53:7c:99:9b:37,"","Compal Broadband Networks, Inc.",8.6676901,49.8709899
TP-LINK_10C8,60:e3:27:b8:10:c8,[WPA2-PSK-CCMP][WPS][ESS],"TP-LINK TECHNOLOGIES CO.,LTD.",8.65313940865482,49.868908575064
WLAN-083D10,50:7e:5d:08:3d:24,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.66398660648427,49.8675782474324
The FRITZ!Box,34:31:c4:0f:5a:26,[WPA2-PSK-CCMP][WPS][ESS],AVM GmbH,8.66360811687985,49.8675745904905
Speedlink-930-5G,a0:e4:cb:f2:59:c0,[WPA2-PSK-CCMP][WPS][ESS],ZyXEL Communications Corporation,8.64419137836767,49.8605132014579
NETGEAR06,9c:d3:6d:aa:d0:86,[WPA2-PSK-CCMP][WPS][ESS],NETGEAR,8.65485822562653,49.8671437787508
KlausKinski,c8:0e:14:ee:da:c7,"",AVM Audiovisuelles Marketing und Computersysteme GmbH,8.644121,49.872013
o2-WLAN28,84:9c:a6:d5:ab:72,[WPA2-PSK-CCMP-preauth][WPS][ESS],Arcadyan Technology Corporation,8.64888092437963,49.8666140788776
WLAN-87E736,88:25:2c:87:e7:53,"",Arcadyan Technology Corporation,8.6495344,49.8714446
FRITZ!Box 7490,34:81:c4:bb:c8:ff,"",AVM GmbH,8.6381062,49.8747722
Hemsbach,00:24:01:17:d4:27,"",D-Link Corporation,8.6348961,49.869167
TUDWeb,20:4c:9e:a2:b0:42,[ESS],"Cisco Systems, Inc",8.65819059540621,49.8737401908558
creative,00:17:9a:62:7a:fb,"",D-Link Corporation,8.669659,49.884601
SkyNet5,18:83:bf:b2:64:bd,"",Arcadyan Technology Corporation,8.6424496,49.8662405
Horiba-Guest,20:b3:99:44:af:71,[ESS],Enterasys,8.64357163806,49.8817988306965
downtowndarmstadt,34:81:c4:1a:c8:f4,"",AVM GmbH,8.6501534,49.8679859
Taylor- Netzwerk2,d4:21:22:01:b8:c5,"",Sercomm Corporation,8.6718178,49.8702494
WLAN-EB6E72,88:03:55:eb:6e:b3,[WPA2-PSK-CCMP][WPS][ESS],Arcadyan Technology Corporation,8.65784047818802,49.8617311066595
UPC3188271,88:f7:c7:9b:82:7d,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.65842565720532,49.8687925872049
DEFC802dot11,80:e8:6f:49:56:e0,[WPA-PSK-TKIP][ESS],"Cisco Systems, Inc",8.6455653601186,49.887615322965
saturn-kunden,50:17:ff:9f:f5:9e,"","Cisco Systems, Inc",8.6534496,49.8705432
o2-WLAN68,9c:80:df:8a:51:5c,"",Arcadyan Technology Corporation,8.6429605,49.8639683
